league,multiplier,log_factor,standard_error,pairs,model_version
NHL,1.0,0.0,0.0,21076,rosteriq-prospects-v1
Russia,0.6542,0.4244,0.0727,161,rosteriq-prospects-v1
KHL,0.5884,0.5304,0.0162,5329,rosteriq-prospects-v1
SHL,0.5078,0.6776,0.0161,5023,rosteriq-prospects-v1
AHL,0.4341,0.8345,0.0075,23361,rosteriq-prospects-v1
Czechia,0.4271,0.8507,0.0241,1897,rosteriq-prospects-v1
NL,0.4125,0.8855,0.0254,1594,rosteriq-prospects-v1
Liiga,0.3645,1.0093,0.0182,3272,rosteriq-prospects-v1
DEL,0.3228,1.1309,0.0244,1783,rosteriq-prospects-v1
HockeyAllsvenskan,0.2576,1.3562,0.0196,2609,rosteriq-prospects-v1
VHL,0.2387,1.4325,0.0303,1118,rosteriq-prospects-v1
ICEHL,0.2311,1.4651,0.0264,955,rosteriq-prospects-v1
Austria,0.227,1.4828,0.0794,64,rosteriq-prospects-v1
NCAA,0.2266,1.4845,0.0148,8485,rosteriq-prospects-v1
Belarus,0.2111,1.5555,0.0815,117,rosteriq-prospects-v1
Slovakia,0.2094,1.5633,0.0288,812,rosteriq-prospects-v1
SL,0.1942,1.6389,0.0718,108,rosteriq-prospects-v1
ECHL,0.1935,1.6426,0.0128,6428,rosteriq-prospects-v1
Czechia2,0.1894,1.6639,0.0423,498,rosteriq-prospects-v1
Swiss-2,0.1886,1.6682,0.1351,32,rosteriq-prospects-v1
EIHL,0.1671,1.7893,0.0361,469,rosteriq-prospects-v1
CHL,0.1622,1.8192,0.057,164,rosteriq-prospects-v1
Ligue Magnus,0.1581,1.8446,0.0629,202,rosteriq-prospects-v1
Denmark,0.1507,1.8923,0.0426,358,rosteriq-prospects-v1
Norway,0.15,1.8972,0.0457,328,rosteriq-prospects-v1
France,0.1471,1.9166,0.1112,52,rosteriq-prospects-v1
DEL2,0.1439,1.9385,0.0376,478,rosteriq-prospects-v1
NLB,0.1421,1.9511,0.1201,32,rosteriq-prospects-v1
Mestis,0.1414,1.9564,0.0419,434,rosteriq-prospects-v1
SPHL,0.136,1.9951,0.115,75,rosteriq-prospects-v1
OHL,0.1334,2.0147,0.0157,6402,rosteriq-prospects-v1
Russia-Jr.,0.1303,2.0377,0.0538,244,rosteriq-prospects-v1
USports,0.1293,2.0457,0.0423,797,rosteriq-prospects-v1
LNAH,0.1284,2.0523,0.0783,366,rosteriq-prospects-v1
Italy,0.1282,2.0544,0.0868,59,rosteriq-prospects-v1
WHL,0.1266,2.0669,0.017,5744,rosteriq-prospects-v1
CIS,0.1222,2.1021,0.0922,60,rosteriq-prospects-v1
USHL,0.1188,2.1301,0.0182,4878,rosteriq-prospects-v1
Poland,0.1143,2.1691,0.1004,74,rosteriq-prospects-v1
QMJHL,0.1113,2.1954,0.0209,3538,rosteriq-prospects-v1
NTDP,0.1082,2.2237,0.0211,2550,rosteriq-prospects-v1
Division 1,0.1035,2.2685,0.0987,73,rosteriq-prospects-v1
MHL,0.1004,2.2982,0.0329,1291,rosteriq-prospects-v1
Erste Liga,0.0975,2.3278,0.0839,82,rosteriq-prospects-v1
HockeyEttan,0.0943,2.3614,0.0417,505,rosteriq-prospects-v1
Russia-3,0.0938,2.3665,0.079,166,rosteriq-prospects-v1
NAHL,0.0937,2.3673,0.0314,758,rosteriq-prospects-v1
AlpsHL,0.0921,2.3849,0.0729,122,rosteriq-prospects-v1
SuperElit,0.091,2.3966,0.1021,58,rosteriq-prospects-v1
Elite Jr. A,0.091,2.3968,0.1148,54,rosteriq-prospects-v1
Kazakhstan,0.0877,2.4337,0.149,43,rosteriq-prospects-v1
Germany3,0.0877,2.434,0.0919,105,rosteriq-prospects-v1
U20 SM-sarja,0.0826,2.4943,0.0301,1471,rosteriq-prospects-v1
Jr. A SM-liiga,0.0766,2.5687,0.1433,31,rosteriq-prospects-v1
J20 Nationell,0.0756,2.5817,0.0217,3735,rosteriq-prospects-v1
BCHL,0.0754,2.5845,0.0337,599,rosteriq-prospects-v1
Slovak-2,0.0707,2.6499,0.1368,31,rosteriq-prospects-v1
Slovakia2,0.0703,2.6555,0.0966,73,rosteriq-prospects-v1
U20-Elit,0.0685,2.6816,0.071,200,rosteriq-prospects-v1
Czechia U20,0.0657,2.722,0.0377,650,rosteriq-prospects-v1
AJHL,0.0635,2.7565,0.0478,258,rosteriq-prospects-v1
Latvia,0.0614,2.7896,0.1383,36,rosteriq-prospects-v1
DHL Cup,0.0609,2.7993,0.1319,37,rosteriq-prospects-v1
EJHL,0.0604,2.8063,0.0838,80,rosteriq-prospects-v1
ON-Jr.A,0.0593,2.8257,0.0668,95,rosteriq-prospects-v1
UMHSEL,0.0582,2.8435,0.0498,286,rosteriq-prospects-v1
CJHL,0.0573,2.8588,0.0733,84,rosteriq-prospects-v1
Czechia U19,0.0558,2.8866,0.1136,44,rosteriq-prospects-v1
NMHL,0.0546,2.9075,0.0953,75,rosteriq-prospects-v1
MHSL U18,0.0536,2.9265,0.126,46,rosteriq-prospects-v1
CCHL,0.0533,2.9311,0.0815,62,rosteriq-prospects-v1
OJHL,0.0519,2.9591,0.041,309,rosteriq-prospects-v1
Belarus Vysshaya,0.0506,2.9838,0.1208,67,rosteriq-prospects-v1
18U AAA,0.0493,3.0105,0.0612,148,rosteriq-prospects-v1
Romania,0.0482,3.0323,0.1322,44,rosteriq-prospects-v1
MJHL,0.0477,3.0437,0.101,36,rosteriq-prospects-v1
ON-Jr.B,0.0457,3.0861,0.0845,55,rosteriq-prospects-v1
UMHSEHL,0.0451,3.0999,0.0448,431,rosteriq-prospects-v1
Division 2,0.0444,3.1151,0.105,82,rosteriq-prospects-v1
HPHL 16U,0.0443,3.1163,0.0734,119,rosteriq-prospects-v1
OJHL-B,0.0427,3.1529,0.0862,67,rosteriq-prospects-v1
PHC,0.0418,3.1752,0.076,137,rosteriq-prospects-v1
U18 SM-sarja,0.041,3.1934,0.0411,768,rosteriq-prospects-v1
T1EHL,0.0409,3.1962,0.0469,276,rosteriq-prospects-v1
HPHL,0.0408,3.1984,0.1002,64,rosteriq-prospects-v1
Minor-MA,0.0407,3.2008,0.0829,142,rosteriq-prospects-v1
AIHL,0.0405,3.2058,0.1072,75,rosteriq-prospects-v1
QM18AAA,0.0405,3.2069,0.0831,109,rosteriq-prospects-v1
GOJHL,0.0392,3.2385,0.0722,88,rosteriq-prospects-v1
MWEHL,0.0391,3.2418,0.0702,103,rosteriq-prospects-v1
High-CT,0.0369,3.3007,0.0795,165,rosteriq-prospects-v1
Elite Novizen,0.0366,3.307,0.1481,49,rosteriq-prospects-v1
Slovakia U20,0.0364,3.3143,0.0661,184,rosteriq-prospects-v1
