external_player_id,player_name,draft_year,overall_pick,round,position,drafted_by,birth_date,age_at_draft,height_inches,weight_pounds,d0_league,d0_league_group,d0_games_played,d0_points,d0_ppg,d0_nhle_ppg,dm1_league,dm1_games_played,dm1_points,dm1_nhle_ppg,p_nhl_regular,baseline_p,p_by_pick,m_contrib_d0_scoring,m_contrib_dm1_scoring,m_contrib_age,m_contrib_size,m_contrib_position,m_contrib_league,m_contrib_games,projection_kind,label_mature,nhl_regular,nhl_gp_7,nhl_gp_to_date,model_version
8471675,Sidney Crosby,2005,1,1,F,PIT,1987-08-07,18.11,71,200,QMJHL,CHL,62,168,2.7097,0.3016,QMJHL,59,135,0.2547,0.9657,0.1263,0.9897,0.4684,0.3082,0.1202,-0.0181,-0.0545,0.0034,0.0118,out_of_sample_leave_one_draft_out,true,true,434,1420,rosteriq-prospects-v1
8471676,Bobby Ryan,2005,2,1,F,ANA,1987-03-17,18.5,74,208,OHL,CHL,62,89,1.4355,0.1914,OHL,65,39,0.08,0.7845,0.1263,0.9709,0.4175,0.1049,0.0314,0.0879,-0.0698,0.0044,0.0821,out_of_sample_leave_one_draft_out,true,true,332,866,rosteriq-prospects-v1
8471677,Jack Johnson,2005,3,1,D,CAR,1987-01-13,18.67,73,219,NTDP,USHL/USNTDP,38,31,0.8158,0.0818,NTDP,60,36,0.0613,0.4105,0.1263,0.9474,0.019,0.0142,0.0347,0.0768,0.1101,0.0065,0.0228,out_of_sample_leave_one_draft_out,true,true,364,1228,rosteriq-prospects-v1
8471678,Benoit Pouliot,2005,4,1,F,MIN,1986-09-29,18.96,75,199,OHL,CHL,67,67,1.0,0.1334,CJHL,49,46,0.06,0.309,0.1263,0.9209,0.1699,0.0605,-0.0124,0.041,-0.0561,0.0024,-0.0225,out_of_sample_leave_one_draft_out,true,true,257,625,rosteriq-prospects-v1
8471680,Gilbert Brule,2005,6,1,F,CBJ,1987-01-01,18.7,71,186,WHL,CHL,70,87,1.2429,0.1573,WHL,67,60,0.1134,0.5208,0.1263,0.8628,0.3066,0.1358,0.0363,-0.0513,-0.0669,0.0042,0.0299,out_of_sample_leave_one_draft_out,true,true,296,299,rosteriq-prospects-v1
8471681,Jack Skille,2005,7,1,F,CHI,1987-05-19,18.33,73,215,NTDP,USHL/USNTDP,42,37,0.881,0.0895,NTDP,61,44,0.0733,0.3944,0.1263,0.8326,0.0413,0.0831,0.0613,0.0685,-0.0617,0.0064,0.0692,out_of_sample_leave_one_draft_out,true,false,138,368,rosteriq-prospects-v1
8471682,Devin Setoguchi,2005,8,1,F,SJS,1987-01-01,18.7,72,200,WHL,CHL,69,64,0.9275,0.1174,WHL,66,31,0.0595,0.2457,0.1263,0.8024,0.1115,0.0234,0.0261,0.0013,-0.0514,0.002,0.0065,out_of_sample_leave_one_draft_out,true,true,336,516,rosteriq-prospects-v1
8471683,Brian Lee,2005,9,1,D,OTT,1987-03-26,18.48,75,208,USHS-MN,North America junior A / high school,37,41,1.1081,0.0375,USHS-MN,29,48,0.0449,0.1014,0.1263,0.7725,-0.1182,0.0065,0.0144,0.0466,0.0597,-0.0175,-0.0163,out_of_sample_leave_one_draft_out,true,false,187,209,rosteriq-prospects-v1
8471684,Luc Bourdon,2005,10,1,D,VAN,1987-02-16,18.58,75,211,QMJHL,CHL,70,32,0.4571,0.0509,QMJHL,64,8,0.0139,0.1089,0.1263,0.7431,-0.0653,-0.0714,0.0232,0.0455,0.0616,0.0012,-0.0121,out_of_sample_leave_one_draft_out,true,false,36,36,rosteriq-prospects-v1
8471685,Anze Kopitar,2005,11,1,F,LAK,1987-08-24,18.06,75,227,J20 Nationell,Europe junior,36,52,1.4444,0.1056,Sloven-Jr.,46,85,,0.478,0.1263,0.7145,0.1326,0.0515,0.1513,0.1111,-0.0641,-0.0468,0.0161,out_of_sample_leave_one_draft_out,true,true,475,1521,rosteriq-prospects-v1
