external_player_id,player_name,season,game_type,league,team_name,position,situation,goals_against,x_goals,m_unblocked_shots_against,m_gsax
8467950,Craig Anderson,2021-22,regular,NHL,BUF,G,all,96,90.5097,1298,-5.4903
8469608,Mike Smith,2021-22,regular,NHL,EDM,G,all,74,82.5953,1152,8.5953
8470594,Marc-Andre Fleury,2021-22,regular,NHL,MIN,G,all,159,150.1176,2342,-8.8824
8470860,Jaroslav Halak,2021-22,regular,NHL,VAN,G,all,39,37.9937,546,-1.0063
8470880,Brian Elliott,2021-22,regular,NHL,TBL,G,all,43,46.7111,693,3.7111
8471239,Cory Schneider,2021-22,regular,NHL,NYI,G,all,3,3.6918,51,0.6918
8471306,Thomas Greiss,2021-22,regular,NHL,DET,G,all,92,78.9955,1175,-13.0045
8471418,Anton Khudobin,2021-22,regular,NHL,DAL,G,all,28,21.348,313,-6.652
8471679,Carey Price,2021-22,regular,NHL,MTL,G,all,18,13.7172,200,-4.2828
8471695,Tuukka Rask,2021-22,regular,NHL,BOS,G,all,14,7.7029,124,-6.2971
8471734,Jonathan Quick,2021-22,regular,NHL,LAK,G,all,116,131.2732,1761,15.2732
8471774,Alex Stalock,2021-22,regular,NHL,SJS,G,all,6,2.7933,40,-3.2067
8473503,James Reimer,2021-22,regular,NHL,SJS,G,all,129,132.2356,2051,3.2356
8473541,Jonathan Bernier,2021-22,regular,NHL,NJD,G,all,26,23.7465,362,-2.2535
8473575,Semyon Varlamov,2021-22,regular,NHL,NYI,G,all,87,92.0746,1310,5.0746
8474593,Jacob Markstrom,2021-22,regular,NHL,CGY,G,all,137,156.9841,2389,19.9841
8474596,Jake Allen,2021-22,regular,NHL,MTL,G,all,107,105.3779,1502,-1.6221
8474636,Michael Hutchinson,2021-22,regular,NHL,TOR,G,all,6,4.2396,52,-1.7604
8474651,Braden Holtby,2021-22,regular,NHL,DAL,G,all,60,61.3981,965,1.3981
8474667,Harri Sateri,2021-22,regular,NHL,ARI,G,all,21,20.2692,246,-0.7308
8474682,Dustin Tokarski,2021-22,regular,NHL,BUF,G,all,91,80.515,1186,-10.485
8474889,Martin Jones,2021-22,regular,NHL,PHI,G,all,114,104.9932,1559,-9.0068
8475156,Mikko Koskinen,2021-22,regular,NHL,EDM,G,all,136,135.5536,1913,-0.4464
8475215,Robin Lehner,2021-22,regular,NHL,VGK,G,all,120,123.9505,1716,3.9505
8475234,J-F Berube,2021-22,regular,NHL,CBJ,G,all,21,17.2736,260,-3.7264
8475311,Darcy Kuemper,2021-22,regular,NHL,COL,G,all,138,149.2011,2361,11.2011
8475622,Carter Hutton,2021-22,regular,NHL,ARI,G,all,15,5.0309,77,-9.9691
8475660,Cam Talbot,2021-22,regular,NHL,MIN,G,all,132,119.8315,1995,-12.1685
8475683,Sergei Bobrovsky,2021-22,regular,NHL,FLA,G,all,137,143.7584,2045,6.7584
8475717,Calvin Pickard,2021-22,regular,NHL,DET,G,all,9,5.797,91,-3.203
8475789,Jack Campbell,2021-22,regular,NHL,TOR,G,all,123,117.819,1916,-5.181
8475809,Scott Wedgewood,2021-22,regular,NHL,DAL,G,all,110,110.8371,1649,0.8371
8475831,Philipp Grubauer,2021-22,regular,NHL,SEA,G,all,164,129.6961,2059,-34.3039
8475839,Louis Domingue,2021-22,regular,NHL,PIT,G,all,4,6.4811,99,2.4811
8475852,Petr Mrazek,2021-22,regular,NHL,TOR,G,all,58,46.6177,686,-11.3823
8475883,Frederik Andersen,2021-22,regular,NHL,CAR,G,all,111,136.7377,1989,25.7377
8475920,Michael Houser,2021-22,regular,NHL,BUF,G,all,4,5.4222,107,1.4222
8476234,Keith Kinkaid,2021-22,regular,NHL,NYR,G,all,2,2.3204,42,0.3204
8476316,Laurent Brossoit,2021-22,regular,NHL,VGK,G,all,62,62.7635,841,0.7635
8476341,Anton Forsberg,2021-22,regular,NHL,OTT,G,all,121,131.4987,1955,10.4987
8476343,Garret Sparks,2021-22,regular,NHL,LAK,G,all,3,4.198,63,1.198
8476412,Jordan Binnington,2021-22,regular,NHL,STL,G,all,112,102.6129,1577,-9.3871
8476433,Magnus Hellberg,2021-22,regular,NHL,DET,G,all,3,2.3519,31,-0.6481
8476434,John Gibson,2021-22,regular,NHL,ANA,G,all,172,168.528,2488,-3.472
8476509,Maxime Lagace,2021-22,regular,NHL,TBL,G,all,10,5.7271,68,-4.2729
8476876,Malcolm Subban,2021-22,regular,NHL,BUF,G,all,17,11.9822,169,-5.0178
8476883,Andrei Vasilevskiy,2021-22,regular,NHL,TBL,G,all,156,180.2814,2570,24.2814
8476899,Matt Murray,2021-22,regular,NHL,OTT,G,all,60,63.1559,884,3.1559
8476903,Jon Gillies,2021-22,regular,NHL,NJD,G,all,61,50.0553,730,-10.9447
8476904,Chris Driedger,2021-22,regular,NHL,SEA,G,all,73,66.873,1009,-6.127
8476914,Joonas Korpisalo,2021-22,regular,NHL,CBJ,G,all,78,64.267,834,-13.733
8476932,Anthony Stolarz,2021-22,regular,NHL,ANA,G,all,66,71.5975,1110,5.5975
8476945,Connor Hellebuyck,2021-22,regular,NHL,WPG,G,all,193,200.2719,2931,7.2719
8476999,Linus Ullmark,2021-22,regular,NHL,BOS,G,all,95,98.7689,1554,3.7689
8477180,Aaron Dell,2021-22,regular,NHL,BUF,G,all,38,31.9349,464,-6.0651
8477202,Andrew Hammond,2021-22,regular,NHL,NJD,G,all,38,31.8537,437,-6.1463
8477293,Antti Raanta,2021-22,regular,NHL,CAR,G,all,62,68.8467,972,6.8467
8477361,Cal Petersen,2021-22,regular,NHL,LAK,G,all,105,99.6105,1400,-5.3895
8477424,Juuse Saros,2021-22,regular,NHL,NSH,G,all,173,192.9865,2867,19.9865
8477457,Zach Fucale,2021-22,regular,NHL,WSH,G,all,5,6.3882,102,1.3882
8477465,Tristan Jarry,2021-22,regular,NHL,PIT,G,all,137,151.397,2278,14.397
8477480,Eric Comrie,2021-22,regular,NHL,WPG,G,all,44,53.9849,750,9.9849
8477484,Spencer Martin,2021-22,regular,NHL,VAN,G,all,11,23.9242,302,12.9242
8477831,Pheonix Copley,2021-22,regular,NHL,WSH,G,all,5,3.3742,68,-1.6258
8477967,Thatcher Demko,2021-22,regular,NHL,VAN,G,all,168,179.3231,2661,11.3231
8477968,Alex Nedeljkovic,2021-22,regular,NHL,DET,G,all,178,172.7751,2380,-5.2249
8477970,Vitek Vanecek,2021-22,regular,NHL,WSH,G,all,103,100.6165,1554,-2.3835
8477992,Jonas Johansson,2021-22,regular,NHL,FLA,G,all,39,21.2613,341,-17.7387
8478007,Elvis Merzlikins,2021-22,regular,NHL,CBJ,G,all,178,179.403,2584,1.403
8478009,Ilya Sorokin,2021-22,regular,NHL,NYI,G,all,123,147.5154,2256,24.5154
8478024,Ville Husso,2021-22,regular,NHL,STL,G,all,100,117.8079,1727,17.8079
8478039,Kaapo Kahkonen,2021-22,regular,NHL,SJS,G,all,93,95.0838,1467,2.0838
8478048,Igor Shesterkin,2021-22,regular,NHL,NYR,G,all,106,148.7636,2220,42.7636
8478406,Mackenzie Blackwood,2021-22,regular,NHL,NJD,G,all,79,69.4856,1012,-9.5144
8478433,Felix Sandstrom,2021-22,regular,NHL,PHI,G,all,16,19.4228,247,3.4228
8478435,Dan Vladar,2021-22,regular,NHL,CGY,G,all,56,54.6832,870,-1.3168
8478470,Samuel Montembeault,2021-22,regular,NHL,MTL,G,all,121,106.0841,1507,-14.9159
8478492,Ilya Samsonov,2021-22,regular,NHL,WSH,G,all,119,104.7388,1610,-14.2612
8478499,Adin Hill,2021-22,regular,NHL,SJS,G,all,61,56.2095,903,-4.7905
