team_abbrev,season,game_type,situation,goals_for,goals_against,x_goals_for,x_goals_against,x_goals_pct,m_unblocked_for,m_unblocked_against
ANA,2021-22,regular,all,217,249,211.6962,250.0287,0.4585,3307,3748
ARI,2021-22,regular,all,196,300,183.645,268.5956,0.4061,2949,3962
BOS,2021-22,regular,all,240,205,244.4726,201.1744,0.5486,3875,3229
BUF,2021-22,regular,all,217,269,200.7366,242.2521,0.4531,3258,3617
CAR,2021-22,regular,all,258,194,266.7189,223.6039,0.544,3937,3184
CBJ,2021-22,regular,all,240,284,219.6314,271.1188,0.4475,3417,3822
CGY,2021-22,regular,all,269,193,269.1548,211.6673,0.5598,3986,3259
CHI,2021-22,regular,all,205,270,215.8397,232.5917,0.4813,3120,3591
COL,2021-22,regular,all,288,220,245.2729,216.5673,0.5311,3789,3491
DAL,2021-22,regular,all,220,225,241.5881,222.6761,0.5204,3453,3501
DET,2021-22,regular,all,212,282,217.1737,259.9194,0.4552,3175,3677
EDM,2021-22,regular,all,264,242,274.7042,250.4537,0.5231,3738,3541
FLA,2021-22,regular,all,318,233,298.0731,229.6555,0.5648,4020,3292
LAK,2021-22,regular,all,216,224,256.2175,235.0816,0.5215,3901,3224
MIN,2021-22,regular,all,291,228,225.3581,211.0269,0.5164,3559,3476
MTL,2021-22,regular,all,205,297,211.6648,264.5618,0.4445,3217,3776
NJD,2021-22,regular,all,235,288,240.1831,240.8088,0.4993,3562,3491
NSH,2021-22,regular,all,245,233,216.7103,242.0311,0.4724,3424,3591
NYI,2021-22,regular,all,219,213,227.4292,243.2818,0.4832,3189,3617
NYR,2021-22,regular,all,234,200,223.6048,234.8467,0.4877,3260,3502
OTT,2021-22,regular,all,210,249,233.9107,257.5393,0.476,3391,3697
PHI,2021-22,regular,all,204,267,217.3264,256.2893,0.4589,3392,3741
PIT,2021-22,regular,all,247,207,259.194,222.41,0.5382,3785,3403
SEA,2021-22,regular,all,199,257,201.7007,212.491,0.487,3298,3252
SJS,2021-22,regular,all,201,238,208.9789,237.2135,0.4684,3293,3661
STL,2021-22,regular,all,287,225,237.3662,237.6573,0.4997,3295,3595
TBL,2021-22,regular,all,274,212,267.2261,233.5505,0.5336,3542,3341
TOR,2021-22,regular,all,296,241,276.4082,215.965,0.5614,3883,3367
VAN,2021-22,regular,all,230,221,237.4132,243.2595,0.4939,3552,3532
VGK,2021-22,regular,all,248,231,253.7462,237.0128,0.517,3793,3332
WPG,2021-22,regular,all,232,237,261.3691,254.2568,0.5069,3608,3681
WSH,2021-22,regular,all,249,232,230.1915,215.1176,0.5169,3559,3334
ANA,2021-22,regular,5on5,154,187,160.9695,174.6841,0.4796,2699,2947
ARI,2021-22,regular,5on5,157,221,139.5219,192.8607,0.4198,2395,3110
BOS,2021-22,regular,5on5,172,144,176.2301,133.5109,0.569,3084,2447
BUF,2021-22,regular,5on5,158,200,151.3038,178.4518,0.4588,2622,2903
CAR,2021-22,regular,5on5,193,142,198.3921,161.0897,0.5519,3170,2514
CBJ,2021-22,regular,5on5,177,214,159.9986,202.7902,0.441,2725,3108
CGY,2021-22,regular,5on5,196,139,197.4587,155.8451,0.5589,3208,2600
CHI,2021-22,regular,5on5,143,192,148.2064,167.714,0.4691,2438,2867
COL,2021-22,regular,5on5,198,153,168.1332,148.8003,0.5305,2924,2711
DAL,2021-22,regular,5on5,147,159,170.3648,161.1922,0.5138,2709,2794
DET,2021-22,regular,5on5,159,203,155.901,190.903,0.4495,2510,2995
EDM,2021-22,regular,5on5,181,173,187.0575,174.5943,0.5172,2933,2753
FLA,2021-22,regular,5on5,218,161,218.1139,161.8263,0.5741,3227,2535
LAK,2021-22,regular,5on5,155,153,180.5021,164.5621,0.5231,3084,2531
MIN,2021-22,regular,5on5,208,150,159.8259,140.4164,0.5323,2749,2626
MTL,2021-22,regular,5on5,155,196,154.5842,185.431,0.4546,2537,2932
NJD,2021-22,regular,5on5,182,216,185.2627,181.3365,0.5054,2938,2910
NSH,2021-22,regular,5on5,165,156,152.0657,156.7875,0.4924,2672,2675
NYI,2021-22,regular,5on5,159,160,165.9061,184.6038,0.4733,2540,2961
NYR,2021-22,regular,5on5,158,148,154.2806,173.466,0.4707,2520,2800
OTT,2021-22,regular,5on5,147,175,160.1385,182.8578,0.4669,2672,2889
PHI,2021-22,regular,5on5,159,190,153.3512,186.4221,0.4513,2634,3007
PIT,2021-22,regular,5on5,180,153,186.2772,158.1444,0.5408,3035,2699
SEA,2021-22,regular,5on5,152,188,147.439,156.973,0.4843,2635,2620
SJS,2021-22,regular,5on5,142,179,152.5071,175.0297,0.4656,2609,2959
STL,2021-22,regular,5on5,200,170,173.2339,180.3079,0.49,2582,2964
TBL,2021-22,regular,5on5,183,149,182.8539,163.5391,0.5279,2738,2622
